iter	F1	Logloss
0	0.8206411719	0.5827502328
1	0.8341929666	0.4820585055
2	0.8457249071	0.4001700898
3	0.8776102499	0.338034848
4	0.8826401511	0.2955687712
5	0.8848760067	0.2534213489
6	0.8882679588	0.2204653016
7	0.9022276794	0.1816462323
8	0.9245543734	0.1450137863
9	0.9320702721	0.1276314096
10	0.9423775266	0.1078485459
11	0.9485936647	0.09255368952
12	0.9565631808	0.07389300874
13	0.9678532756	0.05847971749
14	0.9768348855	0.04792516037
15	0.9842193246	0.03696840862
16	0.9859822442	0.0317532002
17	0.9894757877	0.02459892009
18	0.9919239589	0.01991676505
19	0.9931620527	0.01666792671
20	0.9941303266	0.01460349281
21	0.9945637762	0.01273705399
22	0.9947952926	0.0120658305
23	0.9952948973	0.01073595299
24	0.9958272619	0.009453275522
25	0.9958937678	0.009345091252
26	0.9962261653	0.008656044677
27	0.9962593929	0.008609531214
28	0.9965583427	0.007603281353
29	0.9967575437	0.007098430021
30	0.9967575437	0.007073221875
31	0.9970884066	0.006397728051
32	0.9971215881	0.006334957629
33	0.9971547674	0.006304007242
34	0.997023022	0.006285118802
35	0.9972211195	0.00579411832
36	0.9973869613	0.00538426909
37	0.9974532826	0.005364206602
38	0.9976190476	0.004859762011
39	0.997652194	0.004849591267
40	0.997652194	0.004844888092
41	0.9977184803	0.004620958455
42	0.9977184803	0.004613531945
43	0.9977516202	0.004605009202
44	0.9977847578	0.004579999507
45	0.9977847578	0.004557963573
46	0.9977847578	0.004532520493
47	0.9977847578	0.004532517635
48	0.9977847578	0.004532516269
49	0.9979172865	0.00449849928
50	0.9979835377	0.004467501881
51	0.9980166601	0.004450910667
52	0.9980497802	0.004298407787
53	0.9980497802	0.004298385152
54	0.9982815598	0.003983595404
55	0.9982815598	0.003959784775
56	0.9982815598	0.003953469478
57	0.9982815598	0.003939566162
58	0.9982815598	0.003920208648
59	0.9983146624	0.003903007572
60	0.9983146624	0.003902995856
61	0.9983477629	0.003809903942
62	0.9983477629	0.003809899687
63	0.9983477629	0.003805211348
64	0.9983477629	0.003805205711
65	0.9983477629	0.003803313203
66	0.9983146624	0.00378019779
67	0.9983477629	0.003774380263
68	0.9983808611	0.003755942819
69	0.9984139572	0.003739002087
70	0.998447051	0.00372641604
71	0.9984139572	0.003700461215
72	0.9985463195	0.0034606344
73	0.9985463195	0.003451415981
74	0.9985463195	0.003444084259
75	0.9985794047	0.003432719574
76	0.9985794047	0.003432609385
77	0.9985794047	0.003432583026
